,,,,,,,Games,Games,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy per Game,Fantasy per Game,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,
Rk,Player,From,To,Draft,Tm,Lg,G,GS,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,FantPt,PPR,FantPt,PPR/G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb
1,Adam Vinatieri\vinatada01,2000,2019,,TOT,NFL,301,0,0,734,754,97.3,490,579,84.6,,,2204,2288.2,2288.2,7.60,7.60,1,1,4,1,0,0,0,0,0,0,0,0
2,Sebastian Janikowski\janikseb01,2000,2018,1-17,TOT,NFL,284,0,0,605,614,98.5,436,542,80.4,,,1913,2029.0,2029.0,7.14,7.14,0,0,0,0,0,0,0,0,0,0,0,0
3,Phil Dawson\dawsophi01,2000,2018,,TOT,NFL,290,0,0,495,507,97.6,433,514,84.2,,,1794,1879.8,1879.8,6.48,6.48,1,1,10,0,0,1,14,0,0,0,0,0
4,Matt Bryant\bryanmat01,2002,2019,,TOT,NFL,242,0,0,567,575,98.6,397,464,85.6,,,1758,1838.0,1838.0,7.60,7.60,0,0,0,0,0,0,0,0,0,0,0,0
5,Stephen Gostkowski\GostSt20,2006,2019,4-118,NWE,NFL,204,0,0,653,664,98.3,374,428,87.4,,,1775,1825.0,1825.0,8.95,8.95,0,0,0,0,0,0,0,0,0,0,0,0
6,David Akers\akersdav01,2000,2013,,TOT,NFL,220,0,0,559,566,98.8,383,469,81.7,,,1708,1767.5,1767.5,8.03,8.03,2,2,25,1,0,2,25,0,0,0,0,0
7,Robbie Gould\gouldrob01,2005,2019,,TOT,NFL,221,0,0,495,507,97.6,381,439,86.8,,,1638,1696.0,1696.0,7.67,7.67,0,1,0,0,0,0,0,0,0,0,0,0
8,Mason Crosby\CrosMa20,2007,2019,6-193,GNB,NFL,208,0,0,588,600,98.0,329,406,81.0,,,1575,1645.0,1645.0,7.91,7.91,0,0,0,0,0,0,0,0,0,0,0,0
9,Jay Feely\feelyjay01,2001,2014,,TOT,NFL,211,0,1,449,452,99.3,332,402,82.6,,,1451,1487.1,1489.1,7.05,7.06,0,0,0,0,0,2,5,1,2,-4,0,1
